Ratio O/F   ,  pc psi , Nozzle inl , Nozzle exi , rho kg/m^3,Tc K,M,gamma,k,c* m/s,Is opt s,Is vac s,Cf opt,Cf vac,c factor
2,350,9,4.73,0,2172.7624,23.0665,1.2849,1.1116,1394.9612,207.6005,228.6336,1.4594,1.6073,1
2,351,9,4.73,0,2173.0696,23.0676,1.2849,1.1116,1394.9003,207.6003,228.6339,1.4595,1.6074,1
2,352,9,4.73,0,2173.3759,23.0686,1.2849,1.1116,1394.8396,207.6001,228.6342,1.4596,1.6075,1
2,353,9,4.73,0,2173.6815,23.0697,1.2848,1.1116,1394.7793,207.5999,228.6346,1.4596,1.6075,1
2,354,9,4.73,0,2173.9863,23.0708,1.2848,1.1116,1394.7194,207.5997,228.6349,1.4597,1.6076,1
2,355,9,4.73,0,2174.2903,23.0718,1.2848,1.1116,1394.6598,207.5995,228.6352,1.4598,1.6077,1
2,356,9,4.73,0,2174.5935,23.0729,1.2848,1.1117,1394.6005,207.5993,228.6355,1.4598,1.6077,1
2,357,9,4.73,0,2174.8959,23.0739,1.2848,1.1117,1394.5415,207.5991,228.6359,1.4599,1.6078,1
2,358,9,4.73,0,2175.1976,23.075,1.2848,1.1117,1394.4829,207.5989,228.6362,1.4599,1.6079,1
2,359,9,4.73,0,2175.4984,23.076,1.2848,1.1117,1394.4247,207.5987,228.6365,1.46,1.6079,1
2,360,9,4.73,0,2175.7986,23.0771,1.2848,1.1117,1394.3667,207.5985,228.6369,1.4601,1.608,1
2,361,9,4.73,0,2176.0979,23.0781,1.2848,1.1117,1394.3091,207.5983,228.6372,1.4601,1.6081,1
2,362,9,4.73,0,2176.3965,23.0792,1.2848,1.1117,1394.2518,207.5981,228.6375,1.4602,1.6082,1
2,363,9,4.73,0,2176.6943,23.0802,1.2847,1.1117,1394.1949,207.5979,228.6378,1.4602,1.6082,1
2,364,9,4.73,0,2176.9914,23.0813,1.2847,1.1117,1394.1382,207.5977,228.6382,1.4603,1.6083,1
2,365,9,4.73,0,2177.2878,23.0823,1.2847,1.1118,1394.0819,207.5975,228.6385,1.4603,1.6084,1
