Ratio O/F   ,  pc psi , Nozzle inl , Nozzle exi , rho kg/m^3,Tc K,M,gamma,k,c* m/s,Is opt s,Is vac s,Cf opt,Cf vac,c factor
2,300,9,4.73,0,2156.2756,23.0094,1.2854,1.111,1400.4597,207.6554,228.6479,1.4541,1.6011,1
2,350,9,4.73,0,2172.7626,23.0665,1.2849,1.1116,1394.9623,207.6006,228.6337,1.4594,1.6073,1
2,400,9,4.73,0,2187.218,23.1173,1.2844,1.1121,1392.2969,207.5907,228.6498,1.4622,1.6105,1
2,450,9,4.73,0,2200.1032,23.1632,1.2839,1.1125,1390.2698,207.5812,228.6651,1.4642,1.613,1
2,500,9,4.73,0,2211.7371,23.2052,1.2834,1.1129,1388.7176,207.5723,228.6796,1.4658,1.6149,1
2,550,9,4.73,0,2222.3492,23.2439,1.283,1.1132,1387.5232,207.5637,228.6935,1.467,1.6163,1
2,600,9,4.73,0,2229.6571,23.2732,1.2828,1.1135,1386.0781,207.5558,228.7072,1.4685,1.6181,1
2,650,9,4.73,0,2234.5271,23.2956,1.2827,1.1137,1384.2269,207.5431,228.7168,1.4704,1.6204,1
2,700,9,4.73,0,2239.2794,23.3177,1.2826,1.114,1382.6289,207.5363,228.7298,1.472,1.6223,1
2,750,9,4.73,0,2243.9508,23.3396,1.2826,1.1143,1381.2476,207.5299,228.7425,1.4734,1.624,1
2.1,300,9,4.73,0,2161.0209,22.8864,1.2915,1.1116,1405.5191,208.8218,229.8382,1.457,1.6036,1
2.1,350,9,4.73,0,2177.6562,22.9425,1.291,1.1122,1408.9048,208.9739,229.9689,1.4546,1.6007,1
2.1,400,9,4.73,0,2192.2449,22.9924,1.2905,1.1127,1405.6886,208.9619,229.9832,1.4578,1.6045,1
2.1,450,9,4.73,0,2205.2519,23.0376,1.29,1.1131,1403.1194,208.9527,229.9983,1.4604,1.6075,1
2.1,500,9,4.73,0,2216.9979,23.0789,1.2896,1.1135,1401.0826,208.9439,230.0127,1.4625,1.6099,1
2.1,550,9,4.73,0,2227.3644,23.116,1.2892,1.1139,1399.4522,208.9354,230.0265,1.4641,1.6119,1
2.1,600,9,4.73,0,2232.5737,23.1382,1.2892,1.1141,1397.1682,208.9272,230.0397,1.4664,1.6146,1
2.1,650,9,4.73,0,2237.6372,23.1601,1.2891,1.1144,1395.1904,208.9199,230.0529,1.4685,1.617,1
2.1,700,9,4.73,0,2242.6016,23.1818,1.2891,1.1147,1393.4493,208.9127,230.0655,1.4703,1.6191,1
2.1,750,9,4.73,0,2247.5053,23.2035,1.2891,1.115,1391.9313,208.9059,230.0777,1.4718,1.621,1
2.2,300,9,4.73,0,2165.3425,22.7714,1.2971,1.1121,1410.2397,209.9076,230.9501,1.4597,1.606,1
2.2,350,9,4.73,0,2182.1125,22.8266,1.2967,1.1128,1413.6807,210.0758,231.0909,1.4573,1.6031,1
