Time (s), Liquid Mass (kg)  ,  Chamber Pressure (PSI), Thrust (N), Mass Flow Rate (kg/s)
0,19.9524,350,1875.71,0.476051
0.1,19.9048,350,1875.71,0.476051
0.2,19.8572,350,1875.71,0.476051
0.3,19.8096,350,1875.71,0.476051
0.4,19.762,350,1875.71,0.476051
0.5,19.7144,350,1875.71,0.476051
0.6,19.6668,350,1875.71,0.476051
0.7,19.6192,350,1875.71,0.476051
0.8,19.5716,350,1875.71,0.476051
0.9,19.5239,350,1875.71,0.476051
1,19.4763,350,1875.71,0.476051
1.1,19.4287,350,1875.71,0.476051
1.2,19.3811,350,1875.71,0.476051
1.3,19.3335,350,1875.71,0.476051
1.4,19.2859,350,1875.71,0.476051
1.5,19.2383,350,1875.71,0.476051
1.6,19.1907,350,1875.71,0.476051
1.7,19.1431,350,1875.71,0.476051
1.8,19.0955,350,1875.71,0.476051
1.9,19.0479,350,1875.71,0.476051
2,19.0003,350,1875.71,0.476051
2.1,18.9527,350,1875.71,0.476051
2.2,18.9051,350,1875.71,0.476051
2.3,18.8575,350,1875.71,0.476051
2.4,18.8099,350,1875.71,0.476051
2.5,18.7623,350,1875.71,0.476051
2.6,18.7147,350,1875.71,0.476051
2.7,18.6671,350,1875.71,0.476051
2.8,18.6195,350,1875.71,0.476051
2.9,18.5718,350,1875.71,0.476051
3,18.5242,350,1875.71,0.476051
3.1,18.4766,350,1875.71,0.476051
3.2,18.429,350,1875.71,0.476051
3.3,18.3814,350,1875.71,0.476051
3.4,18.3338,350,1875.71,0.476051
3.5,18.2862,350,1875.71,0.476051
3.6,18.2386,350,1875.71,0.476051
3.7,18.191,350,1875.71,0.476051
3.8,18.1434,350,1875.71,0.476051
3.9,18.0958,350,1875.71,0.476051
4,18.0482,350,1875.71,0.476051
4.1,18.0006,350,1875.71,0.476051
4.2,17.953,350,1875.71,0.476051
4.3,17.9054,350,1875.71,0.476051
4.4,17.8578,350,1875.71,0.476051
4.5,17.8102,350,1875.71,0.476051
4.6,17.7626,350,1875.71,0.476051
4.7,17.715,350,1875.71,0.476051
4.8,17.6673,350,1875.71,0.476051
4.9,17.6197,350,1875.71,0.476051
5,17.5721,350,1875.71,0.476051
5.1,17.5245,350,1875.71,0.476051
5.2,17.4769,350,1875.71,0.476051
5.3,17.4293,350,1875.71,0.476051
5.4,17.3817,350,1875.71,0.476051
5.5,17.3341,350,1875.71,0.476051
5.6,17.2865,350,1875.71,0.476051
5.7,17.2389,350,1875.71,0.476051
5.8,17.1913,350,1875.71,0.476051
5.9,17.1437,350,1875.71,0.476051
6,17.0961,350,1875.71,0.476051
6.1,17.0485,350,1875.71,0.476051
6.2,17.0009,350,1875.71,0.476051
6.3,16.9533,350,1875.71,0.476051
6.4,16.9057,350,1875.71,0.476051
6.5,16.8581,350,1875.71,0.476051
6.6,16.8105,350,1875.71,0.476051
6.7,16.7629,350,1875.71,0.476051
6.8,16.7152,350,1875.71,0.476051
6.9,16.6676,350,1875.71,0.476051
7,16.62,350,1875.71,0.476051
7.1,16.5724,350,1875.71,0.476051
7.2,16.5248,350,1875.71,0.476051
7.3,16.4772,350,1875.71,0.476051
7.4,16.4296,350,1875.71,0.476051
7.5,16.382,350,1875.71,0.476051
7.6,16.3344,350,1875.71,0.476051
7.7,16.2868,350,1875.71,0.476051
7.8,16.2392,350,1875.71,0.476051
7.9,16.1916,350,1875.71,0.476051
8,16.144,350,1875.71,0.476051
8.1,16.0964,350,1875.71,0.476051
8.2,16.0488,350,1875.71,0.476051
8.3,16.0012,350,1875.71,0.476051
8.4,15.9536,350,1875.71,0.476051
8.5,15.906,350,1875.71,0.476051
8.6,15.8584,350,1875.71,0.476051
8.7,15.8108,350,1875.71,0.476051
8.8,15.7631,350,1875.71,0.476051
8.9,15.7155,350,1875.71,0.476051
9,15.6679,350,1875.71,0.476051
9.1,15.6203,350,1875.71,0.476051
9.2,15.5727,350,1875.71,0.476051
9.3,15.5251,350,1875.71,0.476051
9.4,15.4775,350,1875.71,0.476051
9.5,15.4299,350,1875.71,0.476051
9.6,15.3823,350,1875.71,0.476051
9.7,15.3347,350,1875.71,0.476051
9.8,15.2871,350,1875.71,0.476051
9.9,15.2395,350,1875.71,0.476051
10,15.1919,350,1875.71,0.476051
10.1,15.1443,350,1875.71,0.476051
10.2,15.0967,350,1875.71,0.476051
10.3,15.0491,350,1875.71,0.476051
10.4,15.0015,350,1875.71,0.476051
10.5,14.9539,350,1875.71,0.476051
10.6,14.9063,350,1875.71,0.476051
10.7,14.8586,350,1875.71,0.476051
10.8,14.811,350,1875.71,0.476051
10.9,14.7634,350,1875.71,0.476051
11,14.7158,350,1875.71,0.476051
11.1,14.6682,350,1875.71,0.476051
11.2,14.6206,350,1875.71,0.476051
11.3,14.573,350,1875.71,0.476051
11.4,14.5254,350,1875.71,0.476051
11.5,14.4778,350,1875.71,0.476051
11.6,14.4302,350,1875.71,0.476051
11.7,14.3826,350,1875.71,0.476051
11.8,14.335,350,1875.71,0.476051
11.9,14.2874,350,1875.71,0.476051
12,14.2398,350,1875.71,0.476051
12.1,14.1922,350,1875.71,0.476051
12.2,14.1446,350,1875.71,0.476051
12.3,14.097,350,1875.71,0.476051
12.4,14.0494,350,1875.71,0.476051
12.5,14.0018,350,1875.71,0.476051
12.6,13.9542,350,1875.71,0.476051
12.7,13.9065,350,1875.71,0.476051
12.8,13.8589,350,1875.71,0.476051
12.9,13.8113,350,1875.71,0.476051
13,13.7637,350,1875.71,0.476051
13.1,13.7161,350,1875.71,0.476051
13.2,13.6685,350,1875.71,0.476051
13.3,13.6209,350,1875.71,0.476051
13.4,13.5733,350,1875.71,0.476051
13.5,13.5257,350,1875.71,0.476051
13.6,13.4781,350,1875.71,0.476051
13.7,13.4305,350,1875.71,0.476051
13.8,13.3829,350,1875.71,0.476051
13.9,13.3353,350,1875.71,0.476051
14,13.2877,350,1875.71,0.476051
14.1,13.2401,350,1875.71,0.476051
14.2,13.1925,350,1875.71,0.476051
14.3,13.1449,350,1875.71,0.476051
14.4,13.0973,350,1875.71,0.476051
14.5,13.0497,350,1875.71,0.476051
14.6,13.002,350,1875.71,0.476051
14.7,12.9544,350,1875.71,0.476051
14.8,12.9068,350,1875.71,0.476051
14.9,12.8592,350,1875.71,0.476051
15,12.8116,350,1875.71,0.476051
15.1,12.764,350,1875.71,0.476051
15.2,12.7164,350,1875.71,0.476051
15.3,12.6688,350,1875.71,0.476051
15.4,12.6212,350,1875.71,0.476051
15.5,12.5736,350,1875.71,0.476051
15.6,12.526,350,1875.71,0.476051
15.7,12.4784,350,1875.71,0.476051
15.8,12.4308,350,1875.71,0.476051
15.9,12.3832,350,1875.71,0.476051
16,12.3356,350,1875.71,0.476051
16.1,12.288,350,1875.71,0.476051
16.2,12.2404,350,1875.71,0.476051
16.3,12.1928,350,1875.71,0.476051
16.4,12.1452,350,1875.71,0.476051
16.5,12.0976,350,1875.71,0.476051
16.6,12.0499,350,1875.71,0.476051
16.7,12.0023,350,1875.71,0.476051
16.8,11.9547,350,1875.71,0.476051
16.9,11.9071,350,1875.71,0.476051
17,11.8595,350,1875.71,0.476051
17.1,11.8119,350,1875.71,0.476051
17.2,11.7643,350,1875.71,0.476051
17.3,11.7167,350,1875.71,0.476051
17.4,11.6691,350,1875.71,0.476051
17.5,11.6215,350,1875.71,0.476051
17.6,11.5739,350,1875.71,0.476051
17.7,11.5263,350,1875.71,0.476051
17.8,11.4787,350,1875.71,0.476051
17.9,11.4311,350,1875.71,0.476051
18,11.3835,350,1875.71,0.476051
18.1,11.3359,350,1875.71,0.476051
18.2,11.2883,350,1875.71,0.476051
18.3,11.2407,350,1875.71,0.476051
18.4,11.1931,350,1875.71,0.476051
18.5,11.1454,350,1875.71,0.476051
18.6,11.0978,350,1875.71,0.476051
18.7,11.0502,350,1875.71,0.476051
18.8,11.0026,350,1875.71,0.476051
18.9,10.955,350,1875.71,0.476051
19,10.9074,350,1875.71,0.476051
19.1,10.8598,350,1875.71,0.476051
